,fall,geolocation,id,mass,name,nametype,recclass,reclat,reclong,year
905,Fell,"{'latitude': '-8.38333', 'longitude': '-36.76667'}",23502,1800,Serra de Magé,Valid,Eucrite-cm,-8.383330,-36.766670,1923-01-01T00:00:00.000
906,Fell,"{'latitude': '-19.46667', 'longitude': '-44.21667'}",23504,350,Sete Lagoas,Valid,H4,-19.466670,-44.216670,1908-01-01T00:00:00.000
907,Fell,"{'latitude': '37.41667', 'longitude': '-6.0'}",23508,180,Sevilla,Valid,LL4,37.416670,-6.000000,1862-01-01T00:00:00.000
908,Fell,"{'latitude': '50.61667', 'longitude': '36.6'}",23509,101000,Sevrukovo,Valid,L5,50.616670,36.600000,1874-01-01T00:00:00.000
909,Fell,"{'latitude': '34.75', 'longitude': '10.71667'}",23512,7000,Sfax,Valid,L6,34.750000,10.716670,1989-01-01T00:00:00.000
910,Fell,"{'latitude': '23.1', 'longitude': '87.3'}",23521,4000,Shalka,Valid,Diogenite,23.100000,87.300000,1850-01-01T00:00:00.000
911,Fell,"{'latitude': '37.83333', 'longitude': '-76.7'}",23525,1265,Sharps,Valid,H3.4,37.833330,-76.700000,1921-01-01T00:00:00.000
912,Fell,"{'latitude': '44.05', 'longitude': '-80.16667'}",23529,18600,Shelburne,Valid,L5,44.050000,-80.166670,1904-01-01T00:00:00.000
913,Fell,"{'latitude': '24.55', 'longitude': '84.83333'}",23530,5000,Shergotty,Valid,Martian (shergottite),24.550000,84.833330,1865-01-01T00:00:00.000
914,Fell,"{'latitude': '33.65', 'longitude': '120.06667'}",23531,605,Sheyang,Valid,L6,33.650000,120.066670,1976-01-01T00:00:00.000
915,Fell,"{'latitude': '25.85', 'longitude': '87.5775'}",23534,3679.7,Shikarpur,Valid,L6,25.850000,87.577500,1921-01-01T00:00:00.000
916,Fell,"{'latitude': '43.5', 'longitude': '125.66667'}",23582,3900,Shuangyang,Valid,H5,43.500000,125.666670,1971-01-01T00:00:00.000
917,Fell,"{'latitude': '33.71667', 'longitude': '74.83333'}",23583,5000,Shupiyan,Valid,H6,33.716670,74.833330,1912-01-01T00:00:00.000
918,Fell,"{'latitude': '24.33333', 'longitude': '90.16667'}",23584,3200,Shytal,Valid,L6,24.333330,90.166670,1863-01-01T00:00:00.000
919,Fell,"{'latitude': '43.11667', 'longitude': '11.6'}",23586,3700,Siena,Valid,LL5,43.116670,11.600000,1794-01-01T00:00:00.000
920,Fell,"{'latitude': '46.16', 'longitude': '134.65333'}",23593,23000000,Sikhote-Alin,Valid,"Iron, IIAB",46.160000,134.653330,1947-01-01T00:00:00.000
921,Fell,"{'latitude': '20.93333', 'longitude': '-101.38333'}",23594,1710,Silao,Valid,H5,20.933330,-101.383330,1995-01-01T00:00:00.000
922,Fell,"{'latitude': '44.11667', 'longitude': '27.26667'}",55584,0.15,Silistra,Valid,Achondrite-ung,44.116670,27.266670,1917-01-01T00:00:00.000
